"rhail_code","rhail_codedefinitionid","rhail_codetype","rhail_definition","importsequencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"N97","d8453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Patients with stress incontinence, urinary obstruction, and specific neurologic diseases (e.g., diabetes with peripheral nerve involvement) which are associated with secondary manifestations of the above three indications are excluded.","","1","0","","","31492174","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N98","d9453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Patient must have had a successful test stimulation in order to support subsequent implantation. Before a patient is eligible for permanent implantation, he/she must demonstrate a 50 percent or greater improvement through test stimulation. Improvement is measured through voiding diaries.","","1","0","","","31492168","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N99","da453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Patient must be able to demonstrate adequate ability to record voiding diary data such that clinical results of the implant procedure can be properly evaluated.","","1","0","","","31492166","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N96","d7453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Patient must be refractory to conventional therapy (documented behavioral, pharmacologic and/or surgical corrective therapy) and be an appropriate surgical candidate such that implantation with anesthesia can occur.","","1","0","","","31492164","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N95","d6453b90-e2d1-ef11-8eea-6045bd08003d","984780001","This provider type/provider specialty may not bill this service.","","1","0","","","31492162","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N94","d5453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Claim/Service denied because a more specific taxonomy code is required for adjudication.","","1","0","","","31492160","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N93","d4453b90-e2d1-ef11-8eea-6045bd08003d","984780001","A separate claim must be submitted for each place of service. Services furnished at multiple sites may not be billed in the same claim.","","1","0","","","31492158","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N92","d3453b90-e2d1-ef11-8eea-6045bd08003d","984780001","This facility is not certified for digital mammography.","","1","0","","","31492156","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N91","d2453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Services not included in the appeal review.","","1","0","","","31492150","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N90","d1453b90-e2d1-ef11-8eea-6045bd08003d","984780001","Covered only when performed by the attending physician.","","1","0","","","31492148","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N9","91aaad89-e2d1-ef11-8eea-6045bd080606","984780001","Adjustment represents the estimated amount a previous payer may pay.","","1","0","","","31492146","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N895","10e59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Processed based on a negotiated fee schedule for a specialty drug program.","","1","0","","","31492144","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N894","0fe59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Alert: These payments are made subject to a reservation of rights for the Payor to recoup or otherwise recover all or part of these payments based on any of the following: outcome of pending or future litigation/ new or updated state, federal or regulatory guidance/ any other actions that may affect the Payor's obligation to make these payments.","","1","0","","","31492142","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N893","0ee59c94-e2d1-ef11-8eea-6045bd0484af","984780001","Missing/incomplete/invalid child medical evaluation form/checklist.","","1","0","","","31492130","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N892","0de59c94-e2d1-ef11-8eea-6045bd0484af","984780001","The claim does not meet the criteria for acceptable use of the Delay Reason Code.","","1","0","","","31492128","dc5c7cb8-6921-ef11-840b-0022480a10b0"
"N891","0ce59c94-e2d1-ef11-8eea-6045bd0484af","984780001","The maximum allowable payment for this service/procedure was paid by the primary insurance. No further payment due.","","1","0","","","31492126","dc5c7cb8-6921-ef11-840b-0022480a10b0"
